"","Date","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1",2007-01-03,3.081786,3.092143,2.925,2.992857,1238319600,2.562706
"2",2007-01-04,3.001786,3.069643,2.993571,3.059286,847260400,2.619588
"3",2007-01-05,3.063214,3.078571,3.014286,3.0375,834741600,2.600933
"4",2007-01-08,3.07,3.090357,3.045714,3.0525,797106800,2.613777
"5",2007-01-09,3.0875,3.320714,3.041071,3.306071,3349298400,2.830903
"6",2007-01-10,3.383929,3.492857,3.3375,3.464286,2952880000,2.966379
"7",2007-01-11,3.426429,3.456429,3.396429,3.421429,1440252800,2.929681
"8",2007-01-12,3.378214,3.395,3.329643,3.379286,1312690400,2.893595
"9",2007-01-16,3.417143,3.473214,3.408929,3.467857,1244076400,2.969436
"10",2007-01-17,3.484286,3.485714,3.386429,3.391071,1646260000,2.903687
"11",2007-01-18,3.289286,3.289643,3.180357,3.181071,2364605600,2.723869
"12",2007-01-19,3.165357,3.201786,3.147143,3.160714,1364473600,2.706437
"13",2007-01-22,3.183571,3.184286,3.058929,3.099643,1454026000,2.654144
"14",2007-01-23,3.061786,3.125357,3.053929,3.060714,1207424400,2.62081
"15",2007-01-24,3.095714,3.1125,3.074286,3.096429,927813600,2.651392
"16",2007-01-25,3.111071,3.160714,3.0725,3.080357,905973600,2.63763
"17",2007-01-26,3.111071,3.120357,3.035357,3.049286,986874000,2.611025
"18",2007-01-29,3.082143,3.094643,3.054643,3.069286,901664400,2.62815
"19",2007-01-30,3.086786,3.088929,3.044643,3.055357,577970400,2.616223
"20",2007-01-31,3.030714,3.071429,3.0125,3.061786,856069200,2.621729
"21",2007-02-01,3.079643,3.081071,3.026429,3.026429,664342000,2.591453
"22",2007-02-02,3.004286,3.044643,2.989286,3.026786,621530000,2.591759
"23",2007-02-05,3.010714,3.043929,2.997857,2.997857,578852400,2.566988
"24",2007-02-06,3.016071,3.016786,2.959286,3.005357,864393600,2.573409
"25",2007-02-07,3.017143,3.085,2.983929,3.076786,1066825200,2.634572
"26",2007-02-08,3.051071,3.089643,3.050357,3.077857,679030800,2.63549
"27",2007-02-09,3.067143,3.078571,2.971786,2.973929,860540800,2.546498
"28",2007-02-12,3.015357,3.042143,2.986786,3.031429,724071600,2.595735
"29",2007-02-13,3.041429,3.046071,3.010714,3.025,580986000,2.590229
"30",2007-02-14,3.0225,3.058571,3.020357,3.046429,507981600,2.608579
"31",2007-02-15,3.051429,3.057857,3.027857,3.043214,363661200,2.605825
"32",2007-02-16,3.044643,3.050357,3.023571,3.029643,399868000,2.594205
"33",2007-02-20,3.023214,3.077143,3.005714,3.067857,617702400,2.626927
"34",2007-02-21,3.070714,3.196071,3.07,3.185714,1155313600,2.727845
"35",2007-02-22,3.242857,3.243214,3.161786,3.196786,838224800,2.737326
"36",2007-02-23,3.184286,3.226429,3.173214,3.181071,517893600,2.723869
"37",2007-02-26,3.208571,3.214286,3.128929,3.161071,615848800,2.706743
"38",2007-02-27,3.082143,3.11,2.978929,2.9975,1145813200,2.566682
"39",2007-02-28,2.964286,3.057143,2.964286,3.021786,919475200,2.587477
"40",2007-03-01,3.001071,3.153929,2.991071,3.109286,1415528800,2.662401
"41",2007-03-02,3.098929,3.126429,3.043214,3.050357,860000400,2.611942
"42",2007-03-05,3.0675,3.166071,3.062857,3.082857,838899600,2.639771
"43",2007-03-06,3.135714,3.153929,3.121429,3.149643,723186800,2.696957
"44",2007-03-07,3.144643,3.1775,3.123214,3.132857,626284400,2.682584
"45",2007-03-08,3.163929,3.168571,3.123571,3.142857,511011200,2.691147
"46",2007-03-09,3.171429,3.173214,3.121429,3.141786,451836000,2.69023
"47",2007-03-12,3.145357,3.213929,3.1425,3.209643,729408400,2.748334
"48",2007-03-13,3.193214,3.235714,3.157143,3.157143,867890800,2.70338
"49",2007-03-14,3.164286,3.214286,3.14,3.214286,796586000,2.75231
"50",2007-03-15,3.212857,3.227143,3.189643,3.198929,559498800,2.739161
"51",2007-03-16,3.197857,3.213929,3.19,3.199643,571704000,2.739772
"52",2007-03-19,3.222857,3.269643,3.199643,3.254643,712961200,2.786866
"53",2007-03-20,3.2625,3.28,3.252143,3.267143,488916400,2.79757
"54",2007-03-21,3.285357,3.357143,3.273214,3.3525,686896000,2.870659
"55",2007-03-22,3.3475,3.37,3.321429,3.355714,561492400,2.873411
"56",2007-03-23,3.333929,3.359643,3.332143,3.34,450884000,2.859956
"57",2007-03-26,3.356786,3.425,3.332143,3.423214,864987200,2.93121
"58",2007-03-27,3.418214,3.458214,3.392857,3.409286,932052800,2.919284
"59",2007-03-28,3.388571,3.407143,3.326786,3.33,942337200,2.851393
"60",2007-03-29,3.363929,3.363929,3.293929,3.348214,725723600,2.866989
"61",2007-03-30,3.367143,3.381429,3.3125,3.318214,600558000,2.841301
"62",2007-04-02,3.362143,3.366071,3.322143,3.344643,501992400,2.863932
